,VideoID,Title,PublishDate,Like,View
0,NtTGqvD67pE,"#MostEligibleBachelor - Manasa Manasa Lyrical | Akhil Akkineni,Pooja Hegde | Sid Sriram|Gopi Sunder",2020-03-02T05:15:02Z,167212,17413750
1,qD8sPWTekDQ,"#ChittiAdugu Lyrical Song | Most Eligible Bachelor Songs | Akhil Akkineni, Pooja Hegde | Gopi Sundar",2021-10-11T05:37:08Z,43797,2666705
2,dx4Teh-nv3A,Namo Namo - Lyrical | Kedarnath | Sushant Rajput | Sara Ali Khan | Amit Trivedi | Amitabh B,2020-07-09T06:13:47Z,2225381,261904997
3,DScFlfN9vDk,"Oh My Kadavule - Kadhaippoma Video | Ashok Selvan, Ritika Singh | Leon James",2020-02-25T11:30:00Z,395755,55563032
4,nkjyZFTOKGo,Sparsh Dangwal - Live Your Dream (Official Audio),2021-12-10T06:58:23Z,5891,42143
5,DV7nV9W7y-0,Doctor - Chellamma Video | Sivakarthikeyan | Anirudh Ravichander | Nelson Dilipkumar | Jonita Gandhi,2021-10-22T05:33:01Z,585212,33932027
6,wY6UyatwVTA,"India claim stunning series win, end Australia's Gabba streak | Vodafone Test Series 2020-21",2021-01-19T08:21:09Z,1021981,57511660
7,OCg6BWlAXSw,#AlaVaikunthapurramuloo - Samajavaragamana Full Video Song (4K) | Allu Arjun | Trivikram | Thaman S,2020-02-16T10:35:42Z,1350560,205072474
8,Wi2oqXS6SlY,CRICKET WORLD CUP - 1983 / Final Lords / WEST INDIES v INDIA / HD Highlights / DIGITAL CRICKET TV,2021-08-07T16:32:51Z,23761,2036687
9,4ucTNCIOf0s,Bishop and Knight or Rook - Who gets along well with the Queen? Loek van Wely vs Alan Pichot,2021-12-14T08:51:21Z,131,4062
